"";"ANNEE";"DEPARTEMENT";"Age";"Qmort";"Survie";"EdVieRes"
"427";1806;"DOUBS";60;0,1497;0,415;6,915
"428";1806;"DOUBS";65;0,2171;0,353;4,84
"429";1806;"DOUBS";70;0,3182;0,276;3,075
"430";1806;"DOUBS";75;0,437;0,188;1,695
"431";1806;"DOUBS";80;0,5773;0,106;0,755
"432";1806;"DOUBS";85;0,7408;0,045;0,225
"433";1806;"DROME";0;0,2924;1;42,685
"434";1806;"DROME";10;0,0246;0,681;34,145
"435";1806;"DROME";15;0,0356;0,664;30,74
"436";1806;"DROME";20;0,0462;0,64;27,42
"437";1806;"DROME";25;0,0497;0,611;24,22
"438";1806;"DROME";30;0,0529;0,581;21,165
"439";1806;"DROME";35;0,0562;0,55;18,26
"440";1806;"DROME";40;0,0597;0,519;15,51
"441";1806;"DROME";45;0,0654;0,488;12,915
"442";1806;"DROME";5;0,0378;0,708;37,685
"443";1806;"DROME";50;0,0819;0,456;10,475
"444";1806;"DROME";55;0,1098;0,419;8,195
"445";1806;"DROME";60;0,157;0,373;6,1
"446";1806;"DROME";65;0,2261;0,314;4,235
"447";1806;"DROME";70;0,3287;0,243;2,665
"448";1806;"DROME";75;0,4469;0,163;1,45
"449";1806;"DROME";80;0,5851;0,09;0,635
"450";1806;"DROME";85;0,7462;0,037;0,185
"451";1806;"EURE";0;0,2066;1;50,565
"452";1806;"EURE";10;0,0172;0,773;41,6
"453";1806;"EURE";15;0,0258;0,76;37,735
"454";1806;"EURE";20;0,0338;0,741;33,935
"455";1806;"EURE";25;0,0369;0,716;30,23
"456";1806;"EURE";30;0,0397;0,689;26,65
"457";1806;"EURE";35;0,0433;0,662;23,205
"458";1806;"EURE";40;0,0475;0,633;19,895
"459";1806;"EURE";45;0,0545;0,603;16,73
"460";1806;"EURE";5;0,0251;0,793;45,565
"461";1806;"EURE";50;0,0701;0,57;13,715
"462";1806;"EURE";55;0,0954;0,53;10,865
"463";1806;"EURE";60;0,1387;0,48;8,215
"464";1806;"EURE";65;0,2033;0,413;5,815
"465";1806;"EURE";70;0,302;0,329;3,75
"466";1806;"EURE";75;0,4214;0,23;2,105
"467";1806;"EURE";80;0,5649;0,133;0,955
"468";1806;"EURE";85;0,7321;0,058;0,29
"469";1806;"EURE-ET-LOIR";0;0,2923;1;42,69
